MarginalTable,State_Name,State_Code,District_Code,Area_Name,Rural_or_Urban,Age,Total_Population,Male_Population,Female_Population,All_Overall_Total_Workers,Male_Overall_Total_Workers,Female_Overall_Total_Workers,Total_Labour_Force,Male_Labour_Force,Female_Labour_Force,Total_Workers,Male_Workers,Female_Workers,Total_Workers_6mon,Male_Workers_6mon,Female_Workers_6mon,Total_Workers_3mon,Male_Workers_3mon,Female_Workers_3mon,Total_Cultivators,Male_Cultivators,Female_Cultivators,Total_Labourers,Male_Labourers,Female_Labourers,Total_Forestry,Male_Forestry,Female_Forestry,Total_B,Male_B,Female_B,Total_C_HHI,Male_C_HHI,Female_C_HHI,Total_C_NonHHI,Male_C_NonHHI,Female_C_NonHHI,Total_DE,Male_DE,Female_DE,Total_F,Male_F,Female_F,Total_G_HHI,Male_G_HHI,Female_G_HHI,Total_G_NonHHI,Male_G_NonHHI,Female_G_NonHHI,Total_H,Male_H,Female_H,Total_I,Male_I,Female_I,Total_J_HHI,Male_J_HHI,Female_J_HHI,Total_J_NonHHI,Male_J_NonHHI,Female_J_NonHHI,Total_KM,Male_KM,Female_KM,Total_NO,Male_NO,Female_NO,Total_PQ,Male_PQ,Female_PQ,Total_RU_HHI,Male_RU_HHI,Female_RU_HHI,Total_RU_NonHHI,Male_RU_NonHHI,Female_RU_NonHHI,Marginal_Seeking_Total_Workers,Marginal_Seeking_Male_Workers,Marginal_Seeking_Female_Workers,Total_Person_Nonworkers,Total_Male_Nonworkers,Total_Female_Nonworkers,Total_Person_Nonworkers_Seeking,Total_Male_Nonworkers_Seeking,Total_Female_Nonworkers_Seeking
B0706,Jammu & Kashmir,1,1,District - Kupwara ,Total,Total,870354,474190,396164,227698,189520,38178,312794,224098,88696,104723,78800,25923,74810,56609,18201,29913,22191,7722,20095,13733,6362,46925,41745,5180,3268,2043,1225,31,31,0,1859,1466,393,1616,1497,119,47,33,14,6374,6264,110,0,0,0,1671,1602,69,1241,1190,51,120,107,13,6,6,0,18,17,1,94,92,2,1011,936,75,810,470,340,3504,1032,2472,16033,6536,9497,69822,57414,12408,641290,283291,357999,85096,34578,50518
B0706,Jammu & Kashmir,1,1,District - Kupwara ,Total,9-May,128253,67309,60944,3036,1632,1404,5606,3009,2597,1946,1008,938,1802,929,873,144,79,65,220,111,109,174,108,66,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,12,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,6,245,105,140,1284,670,614,642,336,306,125204,65682,59522,2570,1377,1193
B0706,Jammu & Kashmir,1,1,District - Kupwara ,Total,14-Oct,118673,62428,56245,4742,2654,2088,10477,5615,4862,3260,1855,1405,2749,1550,1199,511,305,206,449,233,216,619,459,160,105,58,47,0,0,0,10,2,8,19,11,8,0,0,0,27,25,2,0,0,0,23,16,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,14,8,6,251,137,114,1737,902,835,1612,965,647,113928,59808,54120,5735,2961,2774
B0706,Jammu & Kashmir,1,1,District - Kupwara ,Total,15-19,81849,41873,39976,9717,6575,3142,29290,16673,12617,7298,4802,2496,5182,3394,1788,2116,1408,708,1228,685,543,2684,2260,424,179,104,75,0,0,0,82,48,34,50,28,22,6,0,6,311,301,10,0,0,0,72,66,6,82,82,0,9,9,0,0,0,0,6,6,0,6,6,0,20,20,0,8,6,2,327,88,239,2228,1093,1135,5227,3715,1512,72078,35248,36830,19573,10098,9475
B0706,Jammu & Kashmir,1,1,District - Kupwara ,Total,20-24,70692,38505,32187,25067,20117,4950,44137,29069,15068,12813,9144,3669,8968,6488,2480,3845,2656,1189,2125,1247,878,5576,4850,726,336,157,179,0,0,0,173,98,75,187,154,33,6,0,6,871,861,10,0,0,0,226,219,7,198,192,6,3,3,0,0,0,0,3,3,0,15,15,0,115,100,15,106,56,50,412,121,291,2461,1068,1393,9589,7439,2150,45595,18262,27333,19070,8952,10118
B0706,Jammu & Kashmir,1,1,District - Kupwara ,Total,25-29,68046,41511,26535,38552,33463,5089,50366,37779,12587,13976,10680,3296,10060,7824,2236,3916,2856,1060,2349,1497,852,6416,5694,722,401,216,185,15,15,0,288,237,51,261,235,26,2,2,0,987,966,21,0,0,0,291,290,1,296,294,2,16,16,0,0,0,0,3,3,0,31,30,1,180,169,11,113,66,47,470,147,323,1857,803,1054,10247,8400,1847,28707,7421,21286,11814,4316,7498
B0706,Jammu & Kashmir,1,1,District - Kupwara ,Total,30-34,57150,33789,23361,35104,30214,4890,42708,32295,10413,13194,10114,3080,9474,7302,2172,3720,2812,908,2335,1569,766,6313,5650,663,458,259,199,0,0,0,267,206,61,208,200,8,7,7,0,860,846,14,0,0,0,251,239,12,226,219,7,21,21,0,0,0,0,2,2,0,12,12,0,153,142,11,153,92,61,426,131,295,1502,519,983,9585,8104,1481,22145,3653,18492,7604,2081,5523
B0706,Jammu & Kashmir,1,1,District - Kupwara ,Total,35-39,49033,27287,21746,29681,24924,4757,35507,26063,9444,12241,9287,2954,8822,6757,2065,3419,2530,889,2338,1529,809,5931,5308,623,344,228,116,0,0,0,266,222,44,226,218,8,5,5,0,824,816,8,0,0,0,200,181,19,164,148,16,26,25,1,0,0,0,3,3,0,12,12,0,141,128,13,173,82,91,324,57,267,1264,325,939,8738,7339,1399,19130,2107,17023,5826,1139,4687
B0706,Jammu & Kashmir,1,1,District - Kupwara ,Total,40-49,72252,40912,31340,44002,37584,6418,50970,38995,11975,18925,14681,4244,13435,10613,2822,5490,4068,1422,3928,2763,1165,9139,8169,970,633,391,242,9,9,0,382,314,68,382,378,4,9,7,2,1313,1291,22,0,0,0,291,284,7,183,181,2,30,18,12,6,6,0,0,0,0,9,9,0,244,236,8,146,87,59,517,92,425,1704,446,1258,12606,10849,1757,27918,3012,24906,6968,1411,5557
B0706,Jammu & Kashmir,1,1,District - Kupwara ,Total,50-59,40307,21583,18724,21665,18509,3156,24773,19446,5327,10961,8740,2221,7608,6114,1494,3353,2626,727,2509,1926,583,5246,4753,493,425,300,125,7,7,0,220,193,27,187,185,2,9,9,0,681,670,11,0,0,0,183,181,2,75,63,12,8,8,0,0,0,0,0,0,0,7,6,1,117,106,11,48,36,12,289,84,205,950,213,737,6445,5656,789,18747,3108,15639,3108,937,2171
B0706,Jammu & Kashmir,1,1,District - Kupwara ,Total,60-69,27478,14764,12714,10300,8890,1410,12119,9704,2415,6565,5502,1063,4356,3669,687,2209,1833,376,1735,1425,310,3111,2891,220,241,200,41,0,0,0,118,102,16,73,66,7,2,2,0,358,356,2,0,0,0,83,77,6,13,7,6,1,1,0,0,0,0,0,0,0,2,2,0,13,13,0,22,20,2,169,34,135,624,306,318,3459,3112,347,17037,5748,11289,1819,814,1005
B0706,Jammu & Kashmir,1,1,District - Kupwara ,Total,70-79,14149,7704,6445,3902,3366,536,4518,3669,849,2494,2124,370,1676,1410,266,818,714,104,610,529,81,1212,1136,76,103,96,7,0,0,0,29,28,1,16,16,0,0,0,0,87,82,5,0,0,0,45,45,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,21,19,2,10,8,2,66,28,38,292,134,158,1139,1036,103,10272,4348,5924,616,303,313
B0706,Jammu & Kashmir,1,1,District - Kupwara ,Total,80+,7745,4395,3350,1596,1346,250,1904,1495,409,939,793,146,608,518,90,331,275,56,241,206,35,455,426,29,41,32,9,0,0,0,24,16,8,6,5,1,1,1,0,35,35,0,0,0,0,6,4,2,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,2,0,2,8,6,2,8,8,0,106,48,58,472,413,59,6101,2996,3105,308,149,159
B0706,Jammu & Kashmir,1,1,District - Kupwara ,Total,Age not stated,1481,910,571,334,246,88,419,286,133,111,70,41,70,41,29,41,29,12,28,13,15,49,41,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,24,9,15,61,50,11,1182,678,504,85,40,45
B0706,Jammu & Kashmir,1,2,District - Badgam ,Total,Total,753745,398041,355704,213597,161277,52320,306495,197642,108853,82471,45405,37066,61730,35803,25927,20741,9602,11139,21126,9351,11775,25070,17395,7675,2588,1074,1514,35,35,0,13061,5458,7603,4887,2593,2294,94,92,2,3489,3420,69,12,12,0,1286,1232,54,780,749,31,88,81,7,1,1,0,46,46,0,42,36,6,537,391,146,522,314,208,1531,315,1216,7276,2810,4466,51316,32593,18723,538879,235463,303416,92898,36365,56533
B0706,Jammu & Kashmir,1,2,District - Badgam ,Total,9-May,106895,57263,49632,1226,703,523,3843,2089,1754,793,427,366,613,326,287,180,101,79,150,71,79,109,58,51,0,0,0,0,0,0,26,11,15,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,6,483,271,212,323,188,135,105670,56553,49117,2617,1386,1231
B0706,Jammu & Kashmir,1,2,District - Badgam ,Total,14-Oct,94819,49723,45096,4382,2351,2031,12553,6555,5998,3135,1569,1566,1932,982,950,1203,587,616,807,372,435,727,431,296,44,16,28,0,0,0,510,167,343,170,82,88,0,0,0,27,27,0,0,0,0,31,31,0,8,8,0,13,13,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,46,20,26,750,400,350,1672,897,775,90464,47372,43092,8171,4204,3967
B0706,Jammu & Kashmir,1,2,District - Badgam ,Total,15-19,75536,38254,37282,13709,8070,5639,37634,20133,17501,9015,4745,4270,6034,3200,2834,2981,1545,1436,2034,872,1162,2564,1794,770,251,119,132,0,0,0,1785,610,1175,763,318,445,0,0,0,331,328,3,0,0,0,67,57,10,84,78,6,13,13,0,1,1,0,7,7,0,1,1,0,5,3,2,5,4,1,136,49,87,968,491,477,6537,3686,2851,61660,30230,31430,23925,12063,11862
B0706,Jammu & Kashmir,1,2,District - Badgam ,Total,20-24,64695,33951,30744,24808,16836,7972,46666,27088,19578,12734,6979,5755,9415,5369,4046,3319,1610,1709,2525,1079,1446,3734,2695,1039,254,100,154,1,1,0,2915,1104,1811,952,461,491,6,6,0,531,511,20,1,1,0,165,155,10,171,164,7,7,6,1,0,0,0,13,13,0,2,2,0,51,31,20,86,71,15,181,37,144,1139,542,597,9330,5832,3498,39846,16960,22886,21858,10252,11606
B0706,Jammu & Kashmir,1,2,District - Badgam ,Total,25-29,54133,28788,25345,28978,21497,7481,41532,25953,15579,11318,6297,5021,8611,5051,3560,2707,1246,1461,2267,837,1430,3521,2509,1012,232,143,89,8,8,0,2130,940,1190,871,406,465,6,6,0,538,528,10,2,2,0,251,250,1,136,136,0,8,8,0,0,0,0,7,7,0,5,5,0,173,100,73,128,68,60,217,65,152,818,279,539,8042,5156,2886,24544,6709,17835,12554,4456,8098
B0706,Jammu & Kashmir,1,2,District - Badgam ,Total,30-34,46538,24506,22032,28528,21806,6722,35831,23444,12387,9854,5431,4423,7558,4462,3096,2296,969,1327,2290,805,1485,3101,2117,984,293,130,163,4,4,0,1637,784,853,649,393,256,2,2,0,539,533,6,1,1,0,175,169,6,109,108,1,0,0,0,0,0,0,7,7,0,12,12,0,96,77,19,104,63,41,167,44,123,668,182,486,6541,4233,2308,18141,2618,15523,7303,1638,5665
B0706,Jammu & Kashmir,1,2,District - Badgam ,Total,35-39,44226,22700,21526,27781,21436,6345,33186,22091,11095,9248,5010,4238,7282,4164,3118,1966,846,1120,2321,864,1457,2801,1893,908,358,110,248,11,11,0,1372,674,698,533,306,227,25,25,0,570,563,7,0,0,0,161,149,12,80,80,0,10,10,0,0,0,0,8,8,0,2,2,0,68,55,13,78,59,19,168,31,137,682,170,512,5747,3721,2026,16523,1278,15245,5405,655,4750
B0706,Jammu & Kashmir,1,2,District - Badgam ,Total,40-49,70169,37130,33039,44315,35408,8907,50882,36029,14853,13544,7255,6289,10622,6099,4523,2922,1156,1766,4001,1656,2345,4451,3012,1439,552,196,356,4,4,0,1669,734,935,579,382,197,41,39,2,596,585,11,0,0,0,212,202,10,136,126,10,23,17,6,0,0,0,3,3,0,10,4,6,92,82,10,81,26,55,326,38,288,768,149,619,7679,5024,2655,25567,1556,24011,6567,621,5946
